StudyInstanceUID,SeriesInstanceUID,SOPInstanceUID
1.2.826.0.1.3680043.8.498.22027914323057444746912555313058666950,1.2.826.0.1.3680043.8.498.43050587631222553896410266203385800075,1.2.826.0.1.3680043.8.498.48337067795901996053541416359991779555
1.2.826.0.1.3680043.8.498.22027914323057444746912555313058666950,1.2.826.0.1.3680043.8.498.43050587631222553896410266203385800075,1.2.826.0.1.3680043.8.498.49050945256435637597433076217013721661
1.2.826.0.1.3680043.8.498.22027914323057444746912555313058666950,1.2.826.0.1.3680043.8.498.43050587631222553896410266203385800075,1.2.826.0.1.3680043.8.498.51142907311794106974240148055975949551
1.2.826.0.1.3680043.8.498.22027914323057444746912555313058666950,1.2.826.0.1.3680043.8.498.43050587631222553896410266203385800075,1.2.826.0.1.3680043.8.498.66589017499348382708293252965655443486
1.2.826.0.1.3680043.8.498.22027914323057444746912555313058666950,1.2.826.0.1.3680043.8.498.43050587631222553896410266203385800075,1.2.826.0.1.3680043.8.498.67009493840170604663030392959284320072
1.2.826.0.1.3680043.8.498.22027914323057444746912555313058666950,1.2.826.0.1.3680043.8.498.43050587631222553896410266203385800075,1.2.826.0.1.3680043.8.498.67265751975158706136173636161889034512
1.2.826.0.1.3680043.8.498.22027914323057444746912555313058666950,1.2.826.0.1.3680043.8.498.43050587631222553896410266203385800075,1.2.826.0.1.3680043.8.498.71938965710232205327126096207982370232
1.2.826.0.1.3680043.8.498.22027914323057444746912555313058666950,1.2.826.0.1.3680043.8.498.43050587631222553896410266203385800075,1.2.826.0.1.3680043.8.498.77296392958399804201723643367465457789
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.25428509845063550085981650121305007030
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.29844016146436715536223427448311581415
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.32511834841819786353234505885301943874
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.38512742804663058767821031557362138292
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.47741825411622042089559183361935739556
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.49269295563816906391370168508445708702
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.55905660016431954021789950388469180174
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.56864039466693316093989055872047734159
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.61051808601135687975500576475244986223
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.62892192212006639500532892459637724057
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.66411276327335865579886162897122334603
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.69469291625112300410831884619247878133
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.75009420552672807188537899881318209139
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.78295364352627231733934905420223259447
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.82156079119738001096997038878680025802
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.10271133517841070537097590188871860916,1.2.826.0.1.3680043.8.498.83229734567437762455880896208593656505
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.12290002777448141663215838971148654252
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.13631537389348996925291154437293619852
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.16647302417648559852531720986133179573
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.36848314347307379675373866178233470088
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.40845841881405790516640797874854183647
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.42601826692416792535929102514025852861
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.48980958205233547829893967162888681526
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.55861687090081828593252565508958355799
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.57358673236038597885657854510741445680
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.57580628416418788474801199372856327259
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.59333277455728527429185131535046442217
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.61724033571036514462898297327826636300
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.65721583677862315902701157186564790995
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.71082575162055766035190865053770633205
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.75262499161555852015698835112444938428
1.2.826.0.1.3680043.8.498.89746004948304570186940283501211828475,1.2.826.0.1.3680043.8.498.11213522210610443287675690959795701868,1.2.826.0.1.3680043.8.498.76002421964344991488239186072080598209
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.13273391786914510566245672584310446140
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.16542648660658069371292837228862655964
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.21138756983846188805328581501860115592
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.26298376650595820965600634345698261588
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.26444544390010268111143214807678389911
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.30832293559547979787467191915137968065
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.36913427770049835235431516638124616700
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.38176308464465880301745980739022600596
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.38509792226813431507157019594853758609
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.55482791542523461337764282088196940145
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.58149131361564942476572854723803664901
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.63423001200213941140918419866941349245
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.70239089665975643203180833227072945075
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.75195172956006204624152250211418030435
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.78320511618850267242663972005004944785
1.2.826.0.1.3680043.8.498.81142440700884513521007992957945568924,1.2.826.0.1.3680043.8.498.89775687354256932162492749278475845790,1.2.826.0.1.3680043.8.498.80415908830148097717908669213472862396
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.12454329211057918609095106184496846602
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.12460666871420183372906111156306474904
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.13041685183278533876627319121861491809
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.17057447661352062167604100056829208213
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.22405776938215111401458483597369580241
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.30373698004290343269574582109354565757
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.34287937611236938357102713415495604353
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.37654897843998752357352144434221765266
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.41109038337572471134363893090626058103
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.41317584674379342868769309898684662519
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.42650505316422776688829667224113734258
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.43216017317912217086459913158126562760
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.45193345994750231922347339897742825938
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.54489104334754833472220643989179904003
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.56199983250903522840573891084287032915
1.2.826.0.1.3680043.8.498.10983416091338854252058678062116243962,1.2.826.0.1.3680043.8.498.11834523744270534261277155527481275830,1.2.826.0.1.3680043.8.498.80677318669363239006146453163462574930
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.12117264691866822675044781740767488500
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.12828548377864301032878536970992563655
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.28486424577363119391342735469792955308
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.30683719758065107310695692479574451525
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.32590879636530887773706266879067881434
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.38428291376146735045293549734589177496
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.42940950101812412821288112920641543438
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.46076033948559600027581655125478488227
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.49782376926067894081576283908522145875
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.53767527020036667343916383831669473831
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.63323240833223111227705295929046810514
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.66099333048370297825826532844390464886
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.68150418206171932025741943352082425015
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.73846280044024960001135928378144776880
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.75099078925590421291053039247986432368
1.2.826.0.1.3680043.8.498.99108147913292332418681050058312852494,1.2.826.0.1.3680043.8.498.73471697634001716106178426613812784656,1.2.826.0.1.3680043.8.498.79442765064065467701343671964661904418
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.28605630399266489649380210486216610905
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.29638867674367932688587532451514990330
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.35804873800316577705746328446342629791
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.35866589400555753116950786654286055226
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.39162195114380938851465425810369319503
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.44605084273390966082156562970147075904
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.49375860459385450831820920037902025706
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.51515715534985757389513503428315959300
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.51767379553999947404107327681307690808
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.53319923233734377749797954451389112107
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.53511477950876489000519860569069702491
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.55605501951933092951183849500317670782
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.55951807265665313993718976440163048114
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.57105390051828971270340817522471320240
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.58417977165974346530919883290864118585
1.2.826.0.1.3680043.8.498.26004572902429209855865822977387283547,1.2.826.0.1.3680043.8.498.12012915444740647304244179341773572841,1.2.826.0.1.3680043.8.498.67309229881125138536075721405687462770
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.29847202422635886972170551221997138088
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.32931641270122601982162383215445638543
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.41743577233933289075840332086037200990
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.43601494993994228234524849255340375368
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.44853900260574396472251583586987628968
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.49563450283357249530271124914587183093
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.53485999964880983094685896415663497595
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.53980678508070179180123219058959277036
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.56627387289956490143589500904989148568
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.56914729066526390179386584206763582538
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.60330581782283559859345400594091652474
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.61231404651924456580677836691811141810
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.61641818491655636068006213412983215979
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.63513007154192235203854408517619581425
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.65941874293987674981755225673431214687
1.2.826.0.1.3680043.8.498.57703608122587911055931213603182679454,1.2.826.0.1.3680043.8.498.51690997280871488460790894542010029859,1.2.826.0.1.3680043.8.498.67593778016197819038881881079083464828
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.11561060542699532881029218201921857835
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.11731827456417267121217129787935531132
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.12562025403337875245104338573252147582
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.18144281817400498248639580619695267416
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.19877159980694738574071240196842916210
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.36073809605816008082563502322127739102
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.37707702314309266885327783502530203412
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.48211193693954470351655613149870824476
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.53721678646556559461584186776964066928
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.56833658090212538494238541631486083578
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.57050639782247744614624561771418890775
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.63951208114735284809958991965612281559
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.70835383518729000317595686962821767956
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.74343227591271936683306518884312318905
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.77713018837886564985756985143881747467
1.2.826.0.1.3680043.8.498.57882532838957577543516026386452055977,1.2.826.0.1.3680043.8.498.12702332494023011047318547841404363836,1.2.826.0.1.3680043.8.498.78954735105845867157888661619553491159
1.2.826.0.1.3680043.8.498.95113114010658169441709314948308683982,1.2.826.0.1.3680043.8.498.11603598324893760667244502908827829816,1.2.826.0.1.3680043.8.498.20461095981755168757957021588196451951
1.2.826.0.1.3680043.8.498.95113114010658169441709314948308683982,1.2.826.0.1.3680043.8.498.11603598324893760667244502908827829816,1.2.826.0.1.3680043.8.498.21507723370448800004677762942014234055
1.2.826.0.1.3680043.8.498.95113114010658169441709314948308683982,1.2.826.0.1.3680043.8.498.11603598324893760667244502908827829816,1.2.826.0.1.3680043.8.498.22275327501648635100803285744584824957
1.2.826.0.1.3680043.8.498.95113114010658169441709314948308683982,1.2.826.0.1.3680043.8.498.11603598324893760667244502908827829816,1.2.826.0.1.3680043.8.498.31239991797538094064601982427498931089
1.2.826.0.1.3680043.8.498.95113114010658169441709314948308683982,1.2.826.0.1.3680043.8.498.11603598324893760667244502908827829816,1.2.826.0.1.3680043.8.498.33173417369504609869056671093650794635
1.2.826.0.1.3680043.8.498.95113114010658169441709314948308683982,1.2.826.0.1.3680043.8.498.11603598324893760667244502908827829816,1.2.826.0.1.3680043.8.498.36346900392405386677724871445459463251
1.2.826.0.1.3680043.8.498.95113114010658169441709314948308683982,1.2.826.0.1.3680043.8.498.11603598324893760667244502908827829816,1.2.826.0.1.3680043.8.498.36943508191824364683950113818264731560
1.2.826.0.1.3680043.8.498.95113114010658169441709314948308683982,1.2.826.0.1.3680043.8.498.11603598324893760667244502908827829816,1.2.826.0.1.3680043.8.498.40868784377860157679190684314577229994
1.2.826.0.1.3680043.8.498.95113114010658169441709314948308683982,1.2.826.0.1.3680043.8.498.11603598324893760667244502908827829816,1.2.826.0.1.3680043.8.498.46437675921467927274748735308076172587
